主題,プロンプト,出力例,コメント
1. メールを200字で整える,"次の「下書き」から、日本式の社外ビジネスメールを作成してください。出力は「件名」「本文」の2部構成。本文は “挨拶→結論→理由→次の一手→結び→署名” の順。本文は200字前後（±40字まで可）、件名は20字前後。日付表記は「YYYY/MM/DD HH:MM」。

【やること】
1) 下書きから「相手社名・相手名・自社名・氏名・目的・実施内容・期日（納期/共有時刻）・その他重要情報」を抽出。
2) 無い情報は下書きの文脈から1行で補完（例: 期日未記載→“○日内に一次案共有”）。憶測の固有名は作らない。
3) 丁寧語で統一。本文は段落改行を入れて読みやすく。

【入力】
下書き：
{下書き}

【出力フォーマット（厳守）】
件名：{要旨が分かる短題（日時を括弧で）}

{相手社名}
{相手名} 様

いつもお世話になっております。{自社名}の{氏名}です。
結論：{目的}のため、{実施内容}いたします。
理由：{根拠や効果を1行}
次の一手：{期日}までに{具体アクション}いたします。
何卒よろしくお願いいたします。

{自社名}
{氏名}","件名：A実施のご連絡（2025/08/12 15:00 草案共有）

〇〇株式会社
山田様

いつもお世話になっております。株式会社メタマケの石澤です。
結論：サイト改善のため、Aを実施いたします。
理由：コスト削減と納期短縮が見込めるためです。
次の一手：2025/08/12 15:00までに草案を共有いたします。
何卒よろしくお願いいたします。

株式会社メタマケ
石澤亮輔",“音声入力で伝えたいことを下書きとして渡す→AIが抽出・補完→日本式200字”の一気通貫にすると、入力者の手間が最小になります。
2. 社外向け丁寧文＋件名案,"次の「下書き」から、社外向けの丁寧なメール本文（200字前後）と「件名案×3（20字前後）」を作成してください。本文は “挨拶→用件（結論先出し）→補足（理由/背景）→お願い/次の一手→結び→署名” の順。固有名は下書きから抽出し、無い場合は空欄のままにする（憶測で作らない）。句読点は「、。」，日付は「YYYY/MM/DD」表記。

【入力】
下書き：{下書き}

【出力フォーマット（厳守）】
件名案：
- {短題1}
- {短題2}
- {短題3}

本文：
{相手社名}
{相手名} 様

いつもお世話になっております。{自社名}の{氏名}です。
{用件（結論）}
{理由/背景（1行）}
{お願い/次の一手（期限や方法を1行）}
何卒よろしくお願いいたします。

{自社名}
{氏名/署名}","件名案：
- 仕様確認のお願い（8/16まで）
- A案検討の可否について
- 見積ご相談（8/19目安）

本文：
〇〇株式会社
山田様

いつもお世話になっております。株式会社メタマケの石澤です。
結論：A案にて御社のご要件に合わせた改訂案を提示いたします。
背景：現行フローの手戻りが多く、納期短縮の余地があるためです。
お願い：2025/08/16までに仕様のご確認可否をご返信ください。
何卒よろしくお願いいたします。

株式会社メタマケ
石澤亮輔","“件名案×3＋本文1本”を同時に出すと、そのまま送信か修正かの判断が即できます。

――――"
3. Slack用100字依頼,"「下書き」から、Slack向けに100字前後の依頼文を1本作成してください。冒頭に“お願い:”を付け、末尾に“締切:”を付ける。冗長表現は省き、動詞は能動態で。固有名や日付時刻は下書きから抽出し、無ければ「未定」と明記。

【入力】
下書き：{下書き}

【出力フォーマット（厳守）】
お願い: {依頼内容を平叙文で簡潔に}
補足: {目的/前提を1行（任意）}
締切: {YYYY/MM/DD HH:MM または 未定}","お願い: 仕様書v2のレビューをお願いします。誤字と要件抜けの指摘のみでOKです。
補足: 来週のクライアント確認に向け事前整備です。
締切: 2025/08/12 17:00","“お願い/補足/締切”の3行だけにすると読み手が即動けます。

――――"
4. 遅延のお詫び80字,"「下書き」から、返信/対応遅延に関するお詫び文を70〜90字で作成してください。“謝意→理由（名詞句1つ）→挽回策（具体）”の順。主語と責任は自分側で受ける。忖度語は避ける。

【入力】
下書き：{下書き}

【出力フォーマット（厳守）】
{お礼/お詫び}。{理由（名詞句）}により遅延しました。{挽回策（今日/いつまでに何をするか）}。",ご連絡が遅れ失礼しました。内部確認の長期化により遅延しました。本日中に修正版を共有いたします。,"“理由は名詞句/挽回策は動作”で短くても誠実さが伝わります。

――――"
5. 日程調整テンプレ,"「下書き」から打合せの日程調整文を作成してください。候補はA/B/Cの3つ。各候補は「日付/時間/所要/方法（オンラインor対面）/場所」を1行で。本文は“挨拶→目的→候補提示→代替の提案→結び”。

【入力】
下書き：{下書き}

【出力フォーマット（厳守）】
本文：
{相手社名}
{相手名} 様

いつもお世話になっております。{自社名}の{氏名}です。
{打合せ目的（1行）}
候補A: {MM/DD} {HH:MM-HH:MM} / 所要{分} / {オンラインor対面} / {場所}
候補B: {…}
候補C: {…}
上記以外でも調整可能です。ご都合の良い候補をご指定ください。
何卒よろしくお願いいたします。","本文：
〇〇株式会社
山田様

いつもお世話になっております。株式会社メタマケの石澤です。
来期施策の進め方について打合せのお願いです。
候補A: 08/13 15:00-15:30 / 所要30 / オンライン / Zoom
候補B: 08/14 10:00-10:30 / 所要30 / 対面 / 本社会議室B
候補C: 08/14 17:30-18:00 / 所要30 / オンライン / Zoom
上記以外でも調整可能です。ご都合の良い候補をご指定ください。
何卒よろしくお願いいたします。","“候補3本＋方法＋場所”までセットにすると往復が1回で済みます。

――――"
6. 上司報告3点セット,"「下書き」から上司向けの短文報告を3行で作成してください。各行は20〜40字。“現状→課題→相談”の順。相談はYes/Noで答えられる形にする。

【入力】
下書き：{下書き}

【出力フォーマット（厳守）】
現状: {今の到達点}
課題: {詰まり/リスク}
相談: {承認/方針/予算などのYes/No問合せ}","現状: POC精度92%で停止
課題: 学習データの偏り
相談: 追加収集の予算承認をお願いしたいです","“相談はYes/No化”で決裁の初速が上がります。

――――"
7. 依頼断りの角の立たない文,"「下書き」から、角の立たないお断り文を120〜160字で作成してください。“謝意→困難理由→代替案（1つ）→フォロー意志”。否定語は短く、相手の面子を保つ言い回しを用いる。

【入力】
下書き：{下書き}

【出力フォーマット（厳守）】
{謝意（1文）}。{困難理由（1行）}。{代替案（紹介/時期提案など）}。{必要ならお手伝いの意志}。","お声がけいただきありがとうございます。恐縮ですが日程都合により今回は難しく存じます。
代替として同領域に強いC社をご紹介可能です。ご希望あればおつなぎします。","“代替案”を添えると関係を損なわずに断れます。

――――"
8. やんわりリマインド,"「下書き」から、穏やかな未対応リマインドを80〜100字で作成してください。“目的→依頼項目→社内の締切/背景→お願い”の順。相手の事情を推測する言い回しは使わない。

【入力】
下書き：{下書き}

【出力フォーマット（厳守）】
{目的（1句）}の件、{依頼項目}の進捗いかがでしょうか。社内締切は{YYYY/MM/DD}です。可能であれば本日中に一次回答をお願いします。",来期準備の件、見積条件のご確認いかがでしょうか。社内締切は2025/08/15です。可能であれば本日中に一次回答をお願いします。,"“背景（締切）”を書き添えると通りが良くなります。

――――"
9. 【ネタ】飲み会で突然みんなの前でしゃべることになった時の話のネタを考える,"次の「下書き」から、即席スピーチ用の“安全で笑えるネタ”を3本作成してください。各ネタは「フック→本筋→オチ」を各1文、合計3文・120字以内。身内ネタ・個人攻撃・ハラスメント・機微情報は避け、誰でも笑える日常の話題に限定。

【入力】
下書き：{場/聴衆/話題ヒント}

【出力フォーマット（厳守）】
ネタ1: フック: {1文} / 本筋: {1文} / オチ: {1文}
ネタ2: フック: {1文} / 本筋: {1文} / オチ: {1文}
ネタ3: フック: {1文} / 本筋: {1文} / オチ: {1文}","ネタ1: フック: 今日の乾杯、私が一番喉が渇いてます。 / 本筋: さっき自販機で水を買ったのに会場で無料だと知り… / オチ: 経費精算しません、学びは“まず会場を見よう”。
ネタ2: フック: 名刺の在庫、今日ゼロになりました。 / 本筋: 渡し過ぎではなく、落として全部拾っていただいたからです。 / オチ: 本日のKPIは“拾ってくれた優しさ”。
ネタ3: フック: 迷子になって5分遅れました。 / 本筋: 地図アプリの矢印がぐるぐる回り続け… / オチ: でも皆さんの笑顔で方向が定まりました。",笑いは攻めずに“自分落とし”で取るのが正解。場を温めて自分で着地——内輪も毒舌も置いていく、翌朝も恥ずかしくない小話工場。
10. 長文→5タスク化,"「下書き」だけを入力として、実行可能なタスクを5件に分解してください。各タスクは「動詞で始まる1行」で、所要時間目安・期限・担当を付ける。欠落情報は推測補完する（所要時間は30/45/60/90分のいずれか、期限は“未設定”、担当は“未割当”）。最後に合計所要時間を出す。

【入力】
下書き：{下書き}

【出力フォーマット（厳守）】
- タスク1: {作業内容} / 所要: {分}分 / 期限: {YYYY/MM/DD または 未設定} / 担当: {氏名 または 未割当}
- タスク2: {…}
- タスク3: {…}
- タスク4: {…}
- タスク5: {…}
合計所要時間: {合計}分","- タスク1: 仕様素案を作成する / 所要: 60分 / 期限: 2025/08/14 / 担当: 田中
- タスク2: 関係者にヒアリングする / 所要: 90分 / 期限: 未設定 / 担当: 未割当
- タスク3: コストを試算する / 所要: 45分 / 期限: 2025/08/16 / 担当: 佐藤
- タスク4: リスクを洗い出す / 所要: 30分 / 期限: 未設定 / 担当: 未割当
- タスク5: 日程案を作る / 所要: 30分 / 期限: 2025/08/15 / 担当: 田中
合計所要時間: 255分","“動詞で始める＋所要時間の選択肢固定”で粒度が揃います。

---"
11. 1スライド骨子,"「下書き」から、1スライドで相手が読み切れる骨子を作成してください。見出しは12〜16字、要点は3行、各行20字以内。“次の一手”は1行で行動を指定。

【入力】
下書き：{下書き}

【出力フォーマット（厳守）】
見出し: {12〜16字}
要点:
- {要点1（20字以内）}
- {要点2（20字以内）}
- {要点3（20字以内）}
次の一手: {誰が/何を/いつまでに}","見出し: 新料金プランの提案
要点:
- 解約率3%低下を見込む
- 収益性が12%向上
- 初期設定は一度きり
次の一手: 田中が8/16までに比較表を作成","“1枚=読み切れる”を徹底すると会話が進みます。

---"
12. リスクと回避,"「下書き」から主要リスクを3つ抽出し、各リスクに“回避策”と“早期兆候”を1行ずつ付けてください。仮説でも良いが、抽象語は避けて具体的に。

【入力】
下書き：{下書き}

【出力フォーマット（厳守）】
リスク1: {内容}
回避: {具体策（1行）}
兆候: {早期に観測できるサイン}

リスク2: {内容}
回避: {…}
兆候: {…}

リスク3: {内容}
回避: {…}
兆候: {…}","リスク1: 需要予測の外れ
回避: 小ロットで試験導入し反応を確認
兆候: 初週のCVRが想定比80%未満

リスク2: 人手不足による遅延
回避: 外注プールを事前確保
兆候: 工数見積の超過が連続

リスク3: コスト超過
回避: 代替資材の見積を同時取得
兆候: 単価の上振れが2回続く","“兆候”まで言語化するとモニタリング可能になります。

---"
13. 会議アジェンダ5項目,"「下書き」から会議アジェンダを5項目作成してください。各項目は「題目/目的/進行目安（分）」の3点を必ず記載。総時間は60分以内に収める。

【入力】
下書き：{下書き}

【出力フォーマット（厳守）】
1. 題目: {題目} / 目的: {1行} / 進行目安: {分}分
2. 題目: {…} / 目的: {…} / 進行目安: {…}分
3. 題目: {…} / 目的: {…} / 進行目安: {…}分
4. 題目: {…} / 目的: {…} / 進行目安: {…}分
5. 題目: {…} / 目的: {…} / 進行目安: {…}分
合計: {合計}分","1. 題目: 背景共有 / 目的: 認識合わせ / 進行目安: 5分
2. 題目: 目標設定 / 目的: 指標合意 / 進行目安: 10分
3. 題目: 課題抽出 / 目的: ボトルネック特定 / 進行目安: 15分
4. 題目: 解決案検討 / 目的: 代替案比較 / 進行目安: 20分
5. 題目: 次アクション / 目的: 担当と期限確定 / 進行目安: 10分
合計: 60分","“目的”を行ごとに置くと脱線が減ります。

---"
14. 週次3行まとめ,"「下書き」から週次報告を3行で作成してください。各行は30字以内。“進捗→来週優先→支援依頼”の順。具体名詞を1つずつ入れる。

【入力】
下書き：{下書き}

【出力フォーマット（厳守）】
進捗: {今週の到達点}
来週優先: {最優先タスク}
支援依頼: {承認/調整/レビュー 等}","進捗: β版を社内リリース
来週優先: 利用ログの分析開始
支援依頼: 料金改定の仮説レビュー","3行だけにすると読み手が“即判断”できます。

---"
15. タスク優先度付け（Eisenhower）,"「下書き」のタスク群を、Eisenhowerの4区分で仕分けしてください。各区分に2〜5件。“次の一手”として最初に着手すべき1件を明示。

【入力】
下書き：{下書き}

【出力フォーマット（厳守）】
緊急かつ重要:
- {タスク}
- {タスク}

重要だが緊急でない:
- {タスク}
- {タスク}

緊急だが重要でない:
- {タスク}
- {タスク}

後回し:
- {タスク}
- {タスク}

次の一手: {区分名}/{タスク名}（理由: {一言}）","緊急かつ重要:
- 大口顧客の見積返信
- バグ修正の指示

重要だが緊急でない:
- 新プランFAQ整備
- 分析レポート定例化

緊急だが重要でない:
- 社内アンケート回収
- ノベルティ案の整理

後回し:
- 社内Wikiの装飾
- 倉庫写真の整理

次の一手: 緊急かつ重要/大口顧客の見積返信（理由: 収益影響が大）","“次の一手”を明記すると行動が始まります。

---"
16. 議事メモ→決定と宿題（誰が/何を/いつまで）,"「下書き（議事メモ）」から、決定事項・宿題・期限を抽出してください。担当者名は原文の記載に従い、省略されている場合は「担当未確定」と記す。箇条は1行1項目、合計6〜10項目以内。

【入力】
下書き：{議事メモ}

【出力フォーマット（厳守）】
決定事項:
- {決定1}
- {決定2}
宿題:
- {担当/作業内容}
- {担当/作業内容}
期限:
- {作業名}: {YYYY/MM/DD}（担当: {氏名 or 担当未確定}）","決定事項:
- 来期はA案で進行
- βテストは9月1週で実施
宿題:
- 田中/見積の再取得
- 佐藤/FAQ一次案の作成
期限:
- 見積再取得: 2025/08/16（担当: 田中）
- FAQ一次案: 2025/08/19（担当: 佐藤）","“決まったこと/誰が/いつまで”の3点が見えれば会議は動きます。

――――"
17. 【ネタ】部長に“さすが”と言わせる一文を考えて,"「下書き」から、部長向けに評価される“一文”を5案作成してください。各案は「主体/行動/成果見込み(数値)/期限/リスク対策」を含む1文・60〜90字。言い切りで端的に。誇張と他責表現は不可。

【入力】
下書き：{案件名/現状/制約}

【出力フォーマット（厳守）】
- {主体/行動/成果見込み/期限/リスク対策 を含む一文}
(×5)
","- 私がA社向け提案を本日再設計し、CVR+2ptを狙います。8/16までに一次案、想定リスクは在庫で代替条件も併記します。
- 週次レビューを明日から10分短縮し、月内に累計2時間捻出します。資料は1枚化、議題漏れは議事テンプレで防ぎます。
- 問合せ初動をテンプレ化し、当日返信率80%へ。8/20までに試行、繁忙日は当番表でカバーします。
- βテストのバグ起票を私が標準化し、再現率を100%に。8/18までに手順書を配布、例外は動画添付で補完します。
- 価格表の誤記を本日修正し、19時までに再送。原因は版管理、以降は承認フローを必須化します。
",ポエムより“可動部のある数字”。「やる・いつまで・こけたらこうする」の三点セットで、承認ボタンは軽くなる。
18. 記事→3行要約,"「下書き」だけを入力として、記事や資料の要点を“3行”で要約してください。各行は30〜45字。“結論→理由→明日試す一手”の順。固有名詞・数値は下書きから抽出し、無い場合は一般語で簡潔に補完。断定を避けたい場合も“〜と見込む”の形で言い切る。

【入力】
下書き：{下書き}

【出力フォーマット（厳守）】
結論: {主要メッセージを1行}
理由: {根拠や重要データを1行}
明日試す一手: {具体行動を1行}","結論: 顧客単価向上には段階制が有効。
理由: 無料枠拡張で試用増加、解約率-3%の事例。
明日試す一手: 現プランに試用上限の緩和をABテスト。",“3行先出し”は会議や共有で最速に伝わります。
19. 用語をたとえ話で説明,"「下書き」にある専門用語を、小学生にも伝わる“たとえ話”で100字前後に言い換えてください。用語名→たとえ→要点の順。数字や日常物の比喩を1つ入れ、専門語は使わない。

【入力】
下書き：{下書き}

【出力フォーマット（厳守）】
用語: {用語名}
たとえ話: {100字±20字の短文}
要点: {大人向けに一言で定義}","用語: キャッシュフロー
たとえ話: 毎月のお小遣い帳で、入ってくるお金と出ていくお金を並べて、来月も足りるか確かめること。
要点: 一定期間の資金の出入り。",“子どもに説明できる”は理解の最終テストです。
20. 賛否の棚卸し,"「下書き」のテーマについて、賛成と反対を各3点に整理してください。各点は15〜25字。“判断材料”を1行で示し、何を見れば決められるかを明確にする。感情語は避け、事実/効果/コストで表現。

【入力】
下書き：{下書き}

【出力フォーマット（厳守）】
賛成:
- {賛成1}
- {賛成2}
- {賛成3}
反対:
- {反対1}
- {反対2}
- {反対3}
判断材料: {比較指標/データ/期日 などを1行}","賛成:
- 導入初月から工数削減
- 品質のばらつき抑制
- 教育コストの低下
反対:
- 初期費用が高い
- 一時的に手順変更が必要
- 既存ツールとの整合
判断材料: 3ヶ月の総コストと解約率の推移。",“判断材料”があると議論が前に進みます。
21. A/B案の違いと使い分け,"「下書き」から2案（A/B）の違いを“ラベル: 値”で縦並びに整理し、最後に“用途別提案”を1行で示してください。ラベルは3〜6個。数値や閾値があれば明記。

【入力】
下書き：{下書き}

【出力フォーマット（厳守）】
目的: A={値} / B={値}
学習コスト: A={値} / B={値}
拡張性: A={値} / B={値}
運用負荷: A={値} / B={値}
費用感: A={値} / B={値}
用途別提案: {どちらをいつ使うかを1行}","目的: A=分析重視 / B=制作重視
学習コスト: A=高 / B=中
拡張性: A=高 / B=中
運用負荷: A=中 / B=低
費用感: A=高 / B=中
用途別提案: まずBで制作→Aで高度分析に移行。",“同じ軸”で比べると一目で違いが伝わります。
22. 質問10個づくり（探索順つき）,"「下書き」の疑問を深掘るための“良い質問”を10個作成してください。質問は“具体→抽象→検証”の流れで並べ、最後に“探索順”を矢印で提示。Yes/Noで終わる質問は避ける。

【入力】
下書き：{下書き}

【出力フォーマット（厳守）】
Q1: {具体の現状}
Q2: {制約/前提}
Q3: {目標/指標}
Q4: {既存代替}
Q5: {ユーザー仮説}
Q6: {価値仮説}
Q7: {運用制約}
Q8: {リスク}
Q9: {実験設計}
Q10: {失敗条件}
探索順: Q1→Q2→Q3→Q4→Q5→Q6→Q7→Q8→Q9→Q10","Q1: 現在の離脱点はどこか?
Q2: 変更できない制約は何か?
Q3: 成功の指標は何か?
Q4: 既存の代替策は何か?
Q5: 誰が最初に困っているか?
Q6: 何が解決価値になるか?
Q7: 運用でボトルはどこか?
Q8: 主要リスクは何か?
Q9: 小さく試す方法は?
Q10: どんな時に中止するか?
探索順: Q1→Q2→Q3→Q4→Q5→Q6→Q7→Q8→Q9→Q10",“順序”がある質問は、そのまま行動計画になります。
23. 本の要約→実践1手,"「下書き」に含まれる書籍の要旨から、“今すぐ試せる実践案”を3つ作成してください。各案に所要時間（15/30/45/60分のいずれか）を付け、最初に取り組む順番を1→2→3で示す。

【入力】
下書き：{下書き}

【出力フォーマット（厳守）】
1) {実践案} / 所要: {分}分
2) {実践案} / 所要: {分}分
3) {実践案} / 所要: {分}分","1) 顧客インタビュー3件の質問作成 / 所要: 30分
2) ペルソナの再定義ドラフト / 所要: 45分
3) 価格ABテストの設計 / 所要: 60分",“今すぐ3案”が、読書を行動に変えます。
24. 【ネタ】ドヤ顔で語れるAIうんちくを1行で,"「下書き」から、正確で誤解を生みにくい“AIうんちく”を1行文×5作成してください。各行は80字以内、専門用語は平易化し、煽り表現や過度な断定は避ける。最新固有名は出さず一般知識で。

【入力】
下書き：{場/相手レベル}

【出力フォーマット（厳守）】
- {うんちく（80字以内）}
- {…}
- {…}
- {…}
- {…}","- 大規模言語モデルは“次の言葉”を最もらしく予測する仕組みで、知識そのものより文脈の統計を扱います。
- GPUが強いのは、AIが行列計算の塊だから。大量の足し算と掛け算を同時並行でさばけます。
- 教師あり学習は“正解つきの練習問題”を大量に解いて、間違いが減るよう重みを直していきます。
- 過学習は“練習問題だけ満点”。新しい問題で点が下がるので、データを分けて確認します。
- 精度だけで良し悪しは決められません。再現率や適合率など“何を優先するか”で評価が変わります。
",うんちくは“一口サイズの正しさ”。条件と限界を添えると、ドヤが教養に変わる。静かな頷きが最高のリアクション。
25. ベネフィット先頭化リライト,"「下書き」だけを入力として、冒頭2文を“読み手のベネフィット先出し”に書き換えてください。ベネフィット=読み手が得られる良い結果。体裁は下記フォーマットに厳密に従うこと。断定を避けたい場合は“〜できます”で言い切る。

【入力】
下書き：{下書き}

【出力フォーマット（厳守）】
書き換え案（冒頭2文）:
1文目: {読み手の得（具体）}
2文目: {その得を得る方法/理由の要約}
根拠（抽出）: {下書きから拾ったベネフィットの根拠1行}","書き換え案（冒頭2文）:
1文目: 手間をかけずに見積作成が早くなります。
2文目: 既存テンプレに顧客条件を足すだけで、自動で項目が埋まるためです。
根拠（抽出）: テンプレ化と自動計算の記載あり。","“1文目=得、2文目=理由”に固定すると掴みが強くなります。

---"
26. 箇条書き3点に圧縮,"「下書き」を3点の箇条書きに圧縮してください。各行は20字以内の言い切り。冗長語（例: 〜において、まずは、可能性があると考えられる など）は削除し、削除した語を最後に列挙。

【入力】
下書き：{下書き}

【出力フォーマット（厳守）】
要点:
- {20字以内}
- {20字以内}
- {20字以内}
削除した冗長語: {語, 語, 語}","要点:
- 依頼はフォームで一括
- 返信は24時間以内
- 料金は月額固定
削除した冗長語: まずは, において, 可能性があると考えられる","“削る→残す”を可視化すると文章の芯が立ちます。

---"
27. トーン3種類で書き分け,"「下書き」から同一内容を“カジュアル/丁寧/熱量高め”の3トーンで書き分けてください。各100字±20字。意味は同一、語感のみ変更。固有名詞はそのまま使用。

【入力】
下書き：{下書き}

【出力フォーマット（厳守）】
カジュアル: {100字±20}
丁寧: {100字±20}
熱量高め: {100字±20}","カジュアル: 明日から新プラン。まず試して、合わなければ戻せます。
丁寧: 明日より新プランを適用いたします。お試し後のご変更も可能です。
熱量高め: 明日から加速します。新プランで作業は軽く、成果は速く。","トーンを先に用意すると場面に応じて即差し替えできます。

---"
28. 比喩を1つ入れて150字以内に再構成,"「下書き」を150字以内に要約し、分かりやすい比喩を1つ入れてください。比喩は日常物（道具/料理/交通など）で、本文と自然に接続。結論→具体→比喩→一歩目の順。

【入力】
下書き：{下書き}

【出力フォーマット（厳守）】
本文(150字以内): {結論→具体→比喩→一歩目}
比喩: {比喩単語1つ}","本文(150字以内): 工数を減らすには入力を揃えます。まず申込情報をテンプレ化し、抜けを自動チェック。レシピ通りに材料を並べると料理が失敗しないのと同じです。今日の一歩はテンプレ雛形の作成。
比喩: レシピ","比喩は“理解のハンドル”になります。

---"
29. FAQ5本,"「下書き」から、読者の初期疑問に答えるFAQを5本作成してください。各Q/Aは1行、Aは40字以内。5本のうち1本は“反対視点（懸念）”を扱う。

【入力】
下書き：{下書き}

【出力フォーマット（厳守）】
Q1: {短問} / A: {40字以内}
Q2: {短問} / A: {40字以内}
Q3: {短問} / A: {40字以内}
Q4: {短問} / A: {40字以内}
Q5: {短問（懸念）} / A: {40字以内}","Q1: 導入は何日? / A: 最短3日で開始できます
Q2: サポートは? / A: 平日9-18時に対応します
Q3: 費用は? / A: 月1万円からの定額です
Q4: 途中解約は? / A: 月末までに申請で翌月停止
Q5: 失敗しない? / A: 小規模検証でリスクを抑えます","短文FAQは“最初の不安”を5分で溶かします。

---"
30. タイトル8案,"「下書き」の内容を12字以内のタイトルに落とし込み、8案提示してください。文末の句読点・記号は使わない。同語の反復や意味重複は不可。軸が異なるよう“効果/方法/対象/時間/数字/対比/物語/逆説”の観点を混ぜる。

【入力】
下書き：{下書き}

【出力フォーマット（厳守）】
1) {12字以内}
2) {12字以内}
3) {12字以内}
4) {12字以内}
5) {12字以内}
6) {12字以内}
7) {12字以内}
8) {12字以内}","1) 三日で整う
2) まず入口を揃える
3) 現場が軽くなる
4) 朝の三分で変わる
5) 数字で決める
6) 迷ったら一歩
7) 失敗談から学ぶ
8) やらないこと術","“観点ミックス”でバリエーションが生まれます。

---"
